FECHA (YYMMDD);HORA (HHMM);;
200328;1400;19,3917;
200328;1500;19,725;
200328;1600;21,15;
200328;1700;22,1333;
200328;1800;22,3083;
200328;1900;20,5851;
200328;2000;18,8015;
200328;2100;17,1083;
200328;2200;15,8917;
200328;2300;14,9169;
200329;0000;14,175;
200329;0100;13,8167;
200329;0200;13,2833;
200329;0300;12,9667;
200329;0400;12,3333;
200329;0500;11,9;
200329;0600;11,7025;
200329;0700;11,7167;
200329;0800;13,2333;
200329;0900;17,5667;
200329;1000;19;
200329;1100;20,9583;
200329;1200;22,9833;
200329;1300;24,8083;
200329;1400;26,1083;
200329;1500;26,7833;
200329;1600;27,1818;
200329;1700;26,6417;
200329;1800;25,725;
200329;1900;24,0921;
200329;2000;22,2083;
200329;2100;20,575;
200329;2200;18,775;
200329;2300;17,6417;
200330;0000;16,95;
200330;0100;16,425;
200330;0200;15,8667;
200330;0300;15,2;
200330;0400;14,8083;
200330;0500;14,45;
200330;0600;14,1351;
200330;0700;13,6833;
200330;0800;14,8417;
200330;0900;18,2667;
200330;1000;21,0583;
200330;1100;23,5667;
200330;1200;25,7833;
200330;1300;27,875;
200330;1400;29,2333;
200330;1500;30,0333;
200330;1600;29,9083;
200330;1700;29,3917;
200330;1800;28,5583;
200330;1900;26,3667;
200330;2000;23,5667;
200330;2100;21,6417;
200330;2200;20,1884;
200330;2300;18,838;
200331;0000;17,8293;
200331;0100;16,9083;
200331;0200;16,0083;
200331;0300;15,2;
200331;0400;14,5083;
200331;0500;13,875;
200331;0600;13,3261;
200331;0700;13,05;
200331;0800;14,5667;
200331;0900;19,725;
200331;1000;21,9083;
200331;1100;23,8;
200331;1200;25,6167;
200331;1300;27,7167;
200331;1400;27,8833;
200331;1500;28,6167;
200331;1600;28,9;
200331;1700;28,3833;
200331;1800;27,4;
200331;1900;24,8667;
200331;2000;22,5833;
200331;2100;20,775;
200331;2200;19,7;
200331;2300;18,0449;
200401;0000;16,9196;
200401;0100;16,0858;
200401;0200;15,6011;
200401;0300;14,5592;
200401;0400;13,9333;
200401;0500;13,1417;
200401;0600;13,1003;
200401;0700;12,5083;
200401;0800;13,175;
200401;0900;16,5583;
200401;1000;20,0083;
200401;1100;22,525;
200401;1200;24,7583;
200401;1300;26,1167;
200401;1400;26,9417;
200401;1500;27,8583;
200401;1600;28,6167;
200401;1700;28,3167;
200401;1800;27,3167;
200401;1900;25,1417;
200401;2000;22,7362;
200401;2100;19,725;
200401;2200;17,6;
200401;2300;15,9417;
200402;0000;15,0917;
200402;0100;14,1667;
200402;0200;13,6667;
200402;0300;13,0333;
