FECHA (YYMMDD);HORA (HHMM);;
200319;0100;0,0279264;
200319;0200;0,0103937;
200319;0300;0,0218097;
200319;0400;0,141125;
200319;0500;0,131914;
200319;0600;0,0841578;
200319;0700;0,0265756;
200319;0800;0,11289;
200319;0900;0,571993;
200319;1000;0,350461;
200319;1100;0,526756;
200319;1200;0,593014;
200319;1300;0,942762;
200319;1400;0,814974;
200319;1500;1,7407;
200319;1600;2,05858;
200319;1700;2,49941;
200319;1800;2,48932;
200319;1900;2,08464;
200319;2000;1,64464;
200319;2100;1,12302;
200319;2200;0,627236;
200319;2300;0,0375136;
200320;0000;0,0478637;
200320;0100;0,0207885;
200320;0200;0,0857956;
200320;0300;0,0789504;
200320;0400;0,056614;
200320;0500;0,177523;
200320;0600;0,0607602;
200320;0700;0,0131068;
200320;0800;0,0732348;
200320;0900;0,676709;
200320;1000;0,704866;
200320;1100;0,45161;
200320;1200;1,24624;
200320;1300;1,76078;
200320;1400;2,40877;
200320;1500;2,55852;
200320;1600;2,61852;
200320;1700;2,66776;
200320;1800;2,41975;
200320;1900;1,75786;
200320;2000;1,53367;
200320;2100;1,4742;
200320;2200;1,08435;
200320;2300;1,02004;
200321;0000;0,786496;
200321;0100;1,01114;
200321;0200;0,336793;
200321;0300;0,174901;
200321;0400;0,903158;
200321;0500;0,726128;
200321;0600;0,659389;
200321;0700;1,09177;
200321;0800;0,905639;
200321;0900;1,30067;
200321;1000;1,64177;
200321;1100;1,93457;
200321;1200;2,26792;
200321;1300;2,50256;
200321;1400;2,19042;
200321;1500;2,13036;
200321;1600;2,46553;
200321;1700;1,88008;
200321;1800;2,04014;
200321;1900;1,65055;
200321;2000;1,48737;
200321;2100;1,08557;
200321;2200;0,43659;
200321;2300;0,295825;
200322;0000;0,771536;
200322;0100;0,620481;
200322;0200;1,26846;
200322;0300;1,29048;
200322;0400;0,300833;
200322;0500;0,92875;
200322;0600;0,489073;
200322;0700;0,128521;
200322;0800;0,564606;
200322;0900;0,681827;
200322;1000;0,185334;
200322;1100;0,678571;
200322;1200;0,477427;
200322;1300;0,672648;
200322;1400;0,876663;
200322;1500;0,960339;
200322;1600;1,35818;
200322;1700;1,69737;
200322;1800;1,62288;
200322;1900;2,06004;
200322;2000;1,22208;
200322;2100;0,821674;
200322;2200;0,936009;
200322;2300;0,810295;
200323;0000;0,949305;
200323;0100;0,888602;
200323;0200;0,537465;
200323;0300;0,700982;
200323;0400;0,374105;
200323;0500;0,0273593;
200323;0600;0,0602086;
200323;0700;0,0795457;
200323;0800;0,122562;
200323;0900;0,300605;
200323;1000;0,398272;
200323;1100;0,621476;
200323;1200;1,02298;
200323;1300;1,00134;
